1	Maria Davis	Middle	19
2	Elizabeth Reyes	Higher	12
3	Elizabeth Cole	Good	35
4	Latasha Bowman	Good	15
5	Catherine Rodriguez	Senior	32
6	David Rodriguez	Higher	25
7	Anna Ortiz	Junior	34
8	Angela Cruz	Higher	37
9	Scott Shepard	Good	35
10	Gloria Freeman	Middle	26
11	Jesse Stone	Junior	20
12	Brandon Thomas	Junior	24
13	Jessica Lawson	Good	7
14	Michael Rodriguez	Middle	32
15	John Castillo	Good	5
16	Christopher Jackson	Good	35
17	Timothy Davis	Junior	14
18	Shawna Johnson	Good	15
19	Ryan Jordan	Good	4
20	Robert Ochoa	Good	10
21	Derrick Austin	Middle	14
22	Mr. Charles Santos	Higher	34
23	Jeffrey Mcclure	Good	1
24	Matthew Jackson	Middle	3
25	Diane Reed	Junior	16
26	Douglas Miller	Junior	33
27	Jeffrey Todd	Senior	2
28	Anthony Davis	Middle	6
29	Danielle Robles	Good	18
30	Sherry Little	Senior	27
31	Melissa Underwood	Higher	2
32	Daniel Brown	Higher	22
33	Mallory Medina	Middle	8
34	Joseph Miller	Higher	18
35	Kerry Munoz	Higher	17
36	Richard Lane	Senior	13
37	Antonio Jones	Higher	39
38	Amy Rose	Higher	11
39	Jillian Hampton	Junior	17
40	Robert Mendoza	Higher	39
41	Mr. Theodore Davis	Middle	12
42	Adam Palmer	Senior	12
43	Keith Macias	Junior	8
44	Lacey Patel	Good	3
45	Brianna Bond	Middle	23
46	Aaron Thomas	Junior	38
47	Alison Walker	Junior	15
48	James Smith	Good	37
49	Jessica Long	Good	8
50	Erin Gonzales	Middle	20
\.


